                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0387,                 3.1458,                 1.4984,                0.61956,                0.88533,                0.88795,                0.62314,                 1.3968,                 1.3197,                 1.2502,                      0,                      0,                      0
                      2,                 1.1694,                 2.7784,                 1.4417,                0.59672,                 0.9023,                0.88807,                0.61683,                 1.4107,                  1.341,                 1.2581,             1.1429e-06,             1.1429e-06,             1.1429e-06
                      3,                0.67005,                 3.6959,                 1.0962,                0.57333,                0.83333,                0.87409,                0.61255,                  1.421,                  1.366,                 1.2603,             2.1915e-06,             2.1915e-06,             2.1915e-06
                      4,                 1.1822,                 2.9709,                  1.425,                0.55628,                0.85873,                0.87272,                0.61694,                 1.4459,                 1.3871,                 1.2675,             3.1459e-06,             3.1459e-06,             3.1459e-06
                      5,                0.89712,                 2.7193,                 1.2297,                0.57891,                0.83333,                0.87297,                0.60907,                 1.4762,                 1.4161,                  1.282,              4.006e-06,              4.006e-06,              4.006e-06
                      6,                 1.3036,                 3.1983,                  1.677,                0.61419,                0.83333,                0.87094,                0.60827,                 1.4836,                 1.4505,                 1.2899,             4.7719e-06,             4.7719e-06,             4.7719e-06
                      7,                 1.2819,                 3.8919,                 1.5221,                0.85362,                0.57612,                0.88726,                0.59355,                 1.4971,                 1.4994,                 1.2998,             5.4435e-06,             5.4435e-06,             5.4435e-06
                      8,                 1.0021,                 2.8163,                 1.2981,                0.85002,                0.57785,                0.88851,                0.57758,                 1.5083,                 1.5448,                 1.3075,             6.0209e-06,             6.0209e-06,             6.0209e-06
                      9,                 1.2285,                 2.9433,                 1.5868,                0.85002,                0.57785,                0.88851,                0.57758,                 1.5083,                 1.5448,                 1.3075,             6.5041e-06,             6.5041e-06,             6.5041e-06
                     10,                 1.1848,                 2.5457,                  1.482,                0.80749,                0.58333,                 0.8157,                 0.5421,                 1.5476,                 1.6387,                 1.3392,              6.893e-06,              6.893e-06,              6.893e-06
                     11,                 1.3456,                 2.7928,                 1.4977,                0.80749,                0.58333,                 0.8157,                 0.5421,                 1.5476,                 1.6387,                 1.3392,             7.1876e-06,             7.1876e-06,             7.1876e-06
                     12,                 1.3688,                 3.3827,                 1.5955,                0.77389,                0.58333,                0.74941,                0.52839,                 1.5799,                 1.7206,                  1.361,              7.388e-06,              7.388e-06,              7.388e-06
                     13,                 1.0709,                 2.1679,                 1.3857,                0.77389,                0.58333,                0.74941,                0.52839,                 1.5799,                 1.7206,                  1.361,             7.4941e-06,             7.4941e-06,             7.4941e-06
                     14,                 1.3061,                 2.8469,                 1.6862,                0.72613,                0.58333,                0.74914,                0.51526,                 1.5898,                 1.8099,                  1.378,              7.506e-06,              7.506e-06,              7.506e-06
                     15,                0.84696,                 1.9158,                 1.2625,                0.72613,                0.58333,                0.74914,                0.51526,                 1.5898,                 1.8099,                  1.378,             7.4237e-06,             7.4237e-06,             7.4237e-06
                     16,                0.80365,                 1.5899,                 1.1662,                0.68642,                0.58333,                0.74996,                0.52538,                 1.5841,                 1.8479,                 1.3739,             7.2471e-06,             7.2471e-06,             7.2471e-06
                     17,                0.85019,                 1.7366,                 1.1825,                0.68642,                0.58333,                0.74996,                0.52538,                 1.5841,                 1.8479,                 1.3739,             6.9763e-06,             6.9763e-06,             6.9763e-06
                     18,                0.71108,                 1.4272,                 1.0412,                0.68847,                0.58333,                0.75007,                0.52436,                 1.5888,                 1.8909,                 1.3736,             6.6112e-06,             6.6112e-06,             6.6112e-06
                     19,                  1.114,                 2.2327,                 1.3379,                0.68847,                0.58333,                0.75007,                0.52436,                 1.5888,                 1.8909,                 1.3736,             6.1518e-06,             6.1518e-06,             6.1518e-06
                     20,                0.99441,                 1.7351,                 1.3737,                0.93535,                0.38333,                0.74483,                0.53829,                 1.5962,                 1.9175,                 1.3807,             5.5982e-06,             5.5982e-06,             5.5982e-06
                     21,                0.96829,                 1.8582,                 1.2307,                0.93535,                0.38333,                0.74483,                0.53829,                 1.5962,                 1.9175,                 1.3807,             4.9504e-06,             4.9504e-06,             4.9504e-06
                     22,                 0.8598,                 1.5677,                 1.0802,                0.93551,                0.38333,                0.74365,                0.50491,                 1.5958,                 1.9754,                 1.3702,             4.2083e-06,             4.2083e-06,             4.2083e-06
                     23,                0.84456,                 1.9121,                 1.2137,                0.93551,                0.38333,                0.74365,                0.50491,                 1.5958,                 1.9754,                 1.3702,              3.372e-06,              3.372e-06,              3.372e-06
                     24,                 0.8866,                 1.7654,                 1.2647,                0.93551,                0.38333,                0.74365,                0.50491,                 1.5958,                 1.9754,                 1.3702,             2.4414e-06,             2.4414e-06,             2.4414e-06
                     25,                0.95776,                 1.5235,                 1.2873,                0.93458,                0.38333,                0.61642,                0.46253,                 1.6178,                  2.096,                 1.3947,             1.4166e-06,             1.4166e-06,             1.4166e-06
